id,order_id,product_id,quantity,order_date,net_price
1,1,4,2,10/31/2024,30
2,1,8,1,10/31/2024,11.5
3,1,10,2,10/31/2024,18
4,2,4,3,11/6/2024,45
5,2,7,1,11/6/2024,8.5
6,2,8,3,11/6/2024,34.5
7,2,3,1,11/6/2024,13.5
8,2,2,2,11/6/2024,28
9,3,8,2,1/27/2025,23
10,3,9,2,1/27/2025,26
11,3,4,2,1/27/2025,30
12,3,2,2,1/27/2025,28
13,4,8,1,2/2/2025,11.5
14,4,9,3,2/2/2025,39
15,5,1,2,10/3/2024,24
16,5,9,3,10/3/2024,39
17,5,6,1,10/3/2024,6.5
18,6,10,1,11/12/2024,9
19,6,3,2,11/12/2024,27
20,7,9,2,1/3/2025,26
21,7,6,1,1/3/2025,6.5
22,7,7,2,1/3/2025,17
23,8,4,1,6/20/2025,15
24,8,7,1,6/20/2025,8.5
25,8,8,3,6/20/2025,34.5
26,9,6,3,5/21/2025,19.5
27,10,10,1,4/14/2025,9
28,10,5,1,4/14/2025,7
29,10,4,3,4/14/2025,45
30,11,9,3,11/19/2024,39
31,11,7,3,11/19/2024,25.5
32,12,5,3,1/22/2025,21
33,12,6,2,1/22/2025,13
34,12,2,2,1/22/2025,28
35,13,5,2,10/10/2024,14
36,13,9,3,10/10/2024,39
37,13,7,2,10/10/2024,17
38,13,2,1,10/10/2024,14
39,14,3,3,10/10/2024,40.5
40,14,10,2,10/10/2024,18
41,14,7,3,10/10/2024,25.5
42,15,6,2,3/31/2025,13
43,15,4,2,3/31/2025,30
44,16,1,2,2/20/2025,24
45,16,10,3,2/20/2025,27
46,16,8,2,2/20/2025,23
47,16,7,2,2/20/2025,17
48,16,6,3,2/20/2025,19.5
49,17,3,3,6/29/2025,40.5
50,17,9,2,6/29/2025,26
51,17,1,2,6/29/2025,24
52,17,5,3,6/29/2025,21
53,17,2,1,6/29/2025,14
54,18,1,3,11/3/2024,36
55,18,4,3,11/3/2024,45
56,18,6,3,11/3/2024,19.5
57,18,7,1,11/3/2024,8.5
58,18,5,1,11/3/2024,7
59,19,10,2,3/8/2025,18
60,19,1,3,3/8/2025,36
61,20,7,2,2/18/2025,17
62,20,8,2,2/18/2025,23
63,20,3,3,2/18/2025,40.5
64,20,1,1,2/18/2025,12
65,20,5,3,2/18/2025,21
66,21,7,1,3/23/2025,8.5
67,21,8,1,3/23/2025,11.5
68,22,7,1,6/16/2025,8.5
69,22,5,2,6/16/2025,14
70,22,6,1,6/16/2025,6.5
71,22,3,2,6/16/2025,27
72,22,4,1,6/16/2025,15
73,23,5,3,3/13/2025,21
74,23,6,2,3/13/2025,13
75,23,8,2,3/13/2025,23
76,23,7,2,3/13/2025,17
77,23,3,3,3/13/2025,40.5
78,24,1,1,4/19/2025,12
79,24,5,1,4/19/2025,7
80,24,8,2,4/19/2025,23
81,25,8,1,3/11/2025,11.5
82,25,9,3,3/11/2025,39
83,26,8,1,1/4/2025,11.5
84,27,9,2,2/4/2025,26
85,27,1,3,2/4/2025,36
86,27,10,1,2/4/2025,9
87,28,10,3,1/20/2025,27
88,28,3,1,1/20/2025,13.5
89,28,8,3,1/20/2025,34.5
90,28,6,2,1/20/2025,13
91,28,9,1,1/20/2025,13
92,29,6,1,3/30/2025,6.5
93,29,5,1,3/30/2025,7
94,29,3,3,3/30/2025,40.5
95,29,4,1,3/30/2025,15
96,29,9,1,3/30/2025,13
97,30,7,2,5/21/2025,17
98,30,4,1,5/21/2025,15
99,30,2,2,5/21/2025,28
100,30,9,2,5/21/2025,26
101,31,4,3,6/10/2025,45
102,32,10,1,10/10/2024,9
103,32,7,2,10/10/2024,17
104,32,8,1,10/10/2024,11.5
105,32,4,2,10/10/2024,30
106,33,4,2,12/22/2024,30
107,33,5,2,12/22/2024,14
108,33,6,1,12/22/2024,6.5
109,34,7,1,5/1/2025,8.5
110,34,3,3,5/1/2025,40.5
111,34,5,2,5/1/2025,14
112,35,4,3,2/13/2025,45
113,35,2,2,2/13/2025,28
114,35,9,2,2/13/2025,26
115,35,1,3,2/13/2025,36
116,35,3,3,2/13/2025,40.5
117,36,8,3,4/25/2025,34.5
118,36,10,2,4/25/2025,18
119,36,1,1,4/25/2025,12
120,36,4,3,4/25/2025,45
121,37,4,3,11/6/2024,45
122,37,2,3,11/6/2024,42
123,37,8,1,11/6/2024,11.5
124,38,1,1,10/25/2024,12
125,38,2,3,10/25/2024,42
126,38,5,1,10/25/2024,7
127,38,6,3,10/25/2024,19.5
128,38,7,3,10/25/2024,25.5
129,39,8,2,5/12/2025,23
130,39,7,3,5/12/2025,25.5
131,39,5,1,5/12/2025,7
132,39,10,2,5/12/2025,18
133,40,6,1,3/3/2025,6.5
134,40,2,1,3/3/2025,14
135,41,7,2,2/7/2025,17
136,41,5,3,2/7/2025,21
137,41,4,2,2/7/2025,30
138,41,9,3,2/7/2025,39
139,41,8,3,2/7/2025,34.5
140,42,5,1,6/8/2025,7
141,42,6,2,6/8/2025,13
142,43,6,1,6/1/2025,6.5
143,43,2,2,6/1/2025,28
144,43,4,3,6/1/2025,45
145,43,8,1,6/1/2025,11.5
146,44,5,3,10/11/2024,21
147,45,10,1,3/3/2025,9
148,46,5,1,1/23/2025,7
149,46,4,3,1/23/2025,45
150,47,5,3,4/19/2025,21
151,47,10,2,4/19/2025,18
152,47,6,2,4/19/2025,13
153,47,9,2,4/19/2025,26
154,47,1,1,4/19/2025,12
155,48,1,2,12/5/2024,24
156,48,5,2,12/5/2024,14
157,48,8,3,12/5/2024,34.5
158,49,9,3,10/28/2024,39
159,50,5,2,10/29/2024,14
160,50,1,3,10/29/2024,36
161,51,2,2,11/16/2024,28
162,51,3,3,11/16/2024,40.5
163,51,8,3,11/16/2024,34.5
164,52,1,1,11/9/2024,12
165,52,8,3,11/9/2024,34.5
166,52,9,2,11/9/2024,26
167,53,4,2,1/31/2025,30
168,53,3,2,1/31/2025,27
169,53,2,2,1/31/2025,28
170,53,1,3,1/31/2025,36
171,53,10,3,1/31/2025,27
172,54,5,2,10/21/2024,14
173,54,4,1,10/21/2024,15
174,54,2,3,10/21/2024,42
175,54,10,2,10/21/2024,18
176,55,1,3,11/21/2024,36
177,55,5,1,11/21/2024,7
178,56,5,2,11/11/2024,14
179,56,4,2,11/11/2024,30
180,57,3,2,6/19/2025,27
181,57,9,3,6/19/2025,39
182,58,3,2,11/8/2024,27
183,58,4,2,11/8/2024,30
184,58,8,3,11/8/2024,34.5
185,59,1,3,1/29/2025,36
186,60,4,2,12/13/2024,30
187,60,6,2,12/13/2024,13
188,60,3,3,12/13/2024,40.5
189,61,5,3,5/19/2025,21
190,62,1,1,10/25/2024,12
191,62,5,1,10/25/2024,7
192,62,3,2,10/25/2024,27
193,63,2,1,2/17/2025,14
194,63,1,2,2/17/2025,24
195,64,4,1,5/20/2025,15
196,64,8,3,5/20/2025,34.5
197,65,3,1,4/12/2025,13.5
198,65,5,1,4/12/2025,7
199,65,1,2,4/12/2025,24
200,65,7,1,4/12/2025,8.5
201,65,9,1,4/12/2025,13
202,66,4,1,11/29/2024,15
203,66,1,3,11/29/2024,36
204,66,7,2,11/29/2024,17
205,67,2,1,11/19/2024,14
206,67,8,1,11/19/2024,11.5
207,67,1,3,11/19/2024,36
208,67,7,1,11/19/2024,8.5
209,67,9,1,11/19/2024,13
210,68,7,3,1/20/2025,25.5
211,68,8,3,1/20/2025,34.5
212,69,7,3,5/10/2025,25.5
213,69,6,1,5/10/2025,6.5
214,69,2,1,5/10/2025,14
215,69,5,2,5/10/2025,14
216,70,9,2,1/10/2025,26
217,70,2,2,1/10/2025,28
218,70,6,1,1/10/2025,6.5
219,71,4,1,6/28/2025,15
220,72,7,2,1/9/2025,17
221,73,10,2,12/18/2024,18
222,73,5,3,12/18/2024,21
223,73,6,2,12/18/2024,13
224,73,4,1,12/18/2024,15
225,74,9,1,4/21/2025,13
226,74,4,1,4/21/2025,15
227,74,5,1,4/21/2025,7
228,74,7,1,4/21/2025,8.5
229,74,8,1,4/21/2025,11.5
230,75,6,3,3/4/2025,19.5
231,76,3,2,4/2/2025,27
232,76,9,1,4/2/2025,13
233,76,5,2,4/2/2025,14
234,77,5,2,3/26/2025,14
235,77,4,1,3/26/2025,15
236,77,6,3,3/26/2025,19.5
237,77,2,1,3/26/2025,14
238,77,7,1,3/26/2025,8.5
239,78,10,3,10/10/2024,27
240,78,6,3,10/10/2024,19.5
241,79,9,3,10/30/2024,39
242,79,4,1,10/30/2024,15
243,80,7,2,4/17/2025,17
244,80,2,3,4/17/2025,42
245,80,4,2,4/17/2025,30
246,81,2,3,4/29/2025,42
247,81,7,1,4/29/2025,8.5
248,81,8,1,4/29/2025,11.5
249,82,8,2,6/7/2025,23
250,83,9,2,4/28/2025,26
251,83,4,3,4/28/2025,45
252,84,4,3,3/18/2025,45
253,84,7,1,3/18/2025,8.5
254,84,10,3,3/18/2025,27
255,85,10,1,10/31/2024,9
256,85,3,2,10/31/2024,27
257,85,6,2,10/31/2024,13
258,86,1,1,10/13/2024,12
259,86,9,1,10/13/2024,13
260,86,8,1,10/13/2024,11.5
261,86,6,3,10/13/2024,19.5
262,86,3,2,10/13/2024,27
263,87,7,3,5/8/2025,25.5
264,88,5,2,1/28/2025,14
265,89,10,2,4/13/2025,18
266,89,7,2,4/13/2025,17
267,89,6,3,4/13/2025,19.5
268,90,5,2,1/31/2025,14
269,90,6,1,1/31/2025,6.5
270,90,1,1,1/31/2025,12
271,90,4,2,1/31/2025,30
272,90,7,2,1/31/2025,17
273,91,2,2,5/9/2025,28
274,91,10,3,5/9/2025,27
275,91,1,1,5/9/2025,12
276,91,7,1,5/9/2025,8.5
277,91,6,3,5/9/2025,19.5
278,92,10,1,3/23/2025,9
279,93,2,1,10/8/2024,14
